Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EF","Fertilizers indicators","8","Antigua and Barbuda","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2002","2002","kg/ha","2","Fc","Calculated data"
"EF","Fertilizers indicators","8","Antigua and Barbuda","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2003","2003","kg/ha","6.6","Fc","Calculated data"
"EF","Fertilizers indicators","8","Antigua and Barbuda","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2004","2004","kg/ha","0","Fc","Calculated data"
"EF","Fertilizers indicators","8","Antigua and Barbuda","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2005","2005","kg/ha","3.4","Fc","Calculated data"
"EF","Fertilizers indicators","8","Antigua and Barbuda","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2006","2006","kg/ha","1.8","Fc","Calculated data"
"EF","Fertilizers indicators","8","Antigua and Barbuda","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2007","2007","kg/ha","0.4","Fc","Calculated data"
"EF","Fertilizers indicators","8","Antigua and Barbuda","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2008","2008","kg/ha","1.8","Fc","Calculated data"
"EF","Fertilizers indicators","8","Antigua and Barbuda","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2009","2009","kg/ha","4.6","Fc","Calculated data"
"EF","Fertilizers indicators","8","Antigua and Barbuda","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2010","2010","kg/ha","0.8","Fc","Calculated data"
"EF","Fertilizers indicators","8","Antigua and Barbuda","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2011","2011","kg/ha","0.8","Fc","Calculated data"
"EF","Fertilizers indicators","8","Antigua and Barbuda","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2012","2012","kg/ha","5.34","Fc","Calculated data"
"EF","Fertilizers indicators","8","Antigua and Barbuda","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2013","2013","kg/ha","6.48","Fc","Calculated data"
"EF","Fertilizers indicators","8","Antigua and Barbuda","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2014","2014","kg/ha","4.12","Fc","Calculated data"
"EF","Fertilizers indicators","8","Antigua and Barbuda","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2015","2015","kg/ha","1.7","Fc","Calculated data"
"EF","Fertilizers indicators","8","Antigua and Barbuda","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2016","2016","kg/ha","12.23","Fc","Calculated data"
"EF","Fertilizers indicators","8","Antigua and Barbuda","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2017","2017","kg/ha","1.8","Fc","Calculated data"
"EF","Fertilizers indicators","8","Antigua and Barbuda","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2018","2018","kg/ha","1.72","Fc","Calculated data"
