Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1961","1961","kg/ha","2.41","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1962","1962","kg/ha","2.79","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1963","1963","kg/ha","4.51","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1964","1964","kg/ha","3.88","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1965","1965","kg/ha","4","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1966","1966","kg/ha","4.5","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1967","1967","kg/ha","6.68","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1968","1968","kg/ha","6.5","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1969","1969","kg/ha","6.33","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1970","1970","kg/ha","6.6","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1971","1971","kg/ha","7.29","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1972","1972","kg/ha","9.67","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1973","1973","kg/ha","11.41","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1974","1974","kg/ha","11.87","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1975","1975","kg/ha","12.15","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1976","1976","kg/ha","14.19","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1977","1977","kg/ha","11.79","Fc","Calculated data"
