Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1961","1961","kg/ha","1.34","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1962","1962","kg/ha","1.62","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1963","1963","kg/ha","1.88","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1964","1964","kg/ha","2.52","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1965","1965","kg/ha","2.67","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1966","1966","kg/ha","3.29","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1967","1967","kg/ha","4.64","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1968","1968","kg/ha","5.31","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1969","1969","kg/ha","6.11","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1970","1970","kg/ha","6.63","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1971","1971","kg/ha","7.6","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1972","1972","kg/ha","8","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1973","1973","kg/ha","7.97","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1974","1974","kg/ha","7.57","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1975","1975","kg/ha","11.41","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1976","1976","kg/ha","10.48","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1977","1977","kg/ha","12.33","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1978","1978","kg/ha","13.86","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1979","1979","kg/ha","13.94","Fc","Calculated data"
"EF","Fertilizers indicators","5815","Low Income Food Deficit Countries","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1980","1980","kg/ha","14.64","Fc","Calculated data"
